naics	x	y	C1	C2	C3
321999	3.3512962	1.6200031000000001	4	15	38
337110	3.5415025	1.588159	4	15	38
337121	3.5132047999999996	1.6519675	4	15	38
337122	3.4993997	1.6962019	4	15	38
337124	3.6507754	1.5409273	4	15	38
337125	3.5691992999999993	1.6402171000000003	4	15	38
337127	3.4170766	1.6539540000000001	4	15	38
337211	3.5271168	1.6310828000000002	4	15	38
337212	3.9411216000000002	1.3666565	4	15	15
337214	3.700561	1.5097079	4	15	38
337215	3.7767708	1.4819959999999999	4	15	38
337910	3.615343	1.643099	4	15	38
423310	4.494572	1.594689	4	15	15
444190	4.390733	1.5192137	4	15	15
811420	3.621233	1.7476194999999999	4	15	38
211120	4.6706294999999995	0.51822305	4	8	5
211130	4.6581593	0.3927949	4	8	5
213111	4.6714444	0.35440868	4	8	5
213112	4.616293	0.3380484	4	8	5
322110	5.838171	1.1695687	4	8	16
322121	5.8737307	1.2727898000000002	4	8	16
322122	6.0211263	1.1899613000000002	4	8	16
322130	5.887871	1.2299536	4	8	16
322211	5.921243700000001	1.2738127000000001	4	8	16
322212	6.044565	1.0592141000000002	4	8	16
322219	5.954805	1.155339	4	8	16
322220	5.862432	1.1573577	4	8	16
322230	5.923287	1.5179468	4	8	16
322291	5.773678	1.2431915	4	8	16
322299	5.8057604000000005	1.2838698999999998	4	8	16
323113	5.387721	1.9549985	4	8	16
323117	5.7197857	1.8617655	4	8	16
324110	4.804498000000001	0.7007806	4	8	18
324122	5.049715	0.47429535	4	8	18
324191	4.914619	0.6885920999999999	4	8	18
324199	4.8009580000000005	0.46109688	4	8	5
325110	4.8387400000000005	0.83583754	4	8	18
325120	5.1015120000000005	0.9083829999999999	4	8	18
325130	5.1627116	0.93359464	4	8	18
325180	5.0380936	0.98161566	4	8	18
325193	4.778787	0.8663791999999999	4	8	18
325194	5.1285887	0.9038119000000001	4	8	18
325199	5.0918794	1.0252546	4	8	18
325211	5.639973	0.8239280000000001	4	8	20
325212	5.6166177	0.8855950999999999	4	8	20
325220	5.341119	0.9174041	4	8	18
325311	4.896129599999999	0.8881068000000001	4	8	18
325312	4.8220089999999995	0.73048866	4	8	18
325314	4.7510805	0.7764468000000001	4	8	18
325320	4.9930434	0.9242517	4	8	18
325510	5.1334485999999995	1.0088148000000001	4	8	18
325520	5.2718419999999995	0.9792538000000001	4	8	18
325611	5.1272964000000005	1.0813574	4	8	18
325612	5.2087984	1.1475862	4	8	18
325613	5.0618753	1.0094113	4	8	18
325620	5.254016	1.327019	4	8	18
325910	5.30044	0.9798416999999999	4	8	18
325920	5.152692299999999	0.98482	4	8	18
325991	6.127172	0.42337137	4	8	19
325992	6.5988064	1.2296722	4	8	16
325998	5.1267447	1.0235575000000001	4	8	18
326111	5.9181037000000005	0.7819196999999999	4	8	19
326112	5.864246	0.7675310000000001	4	8	19
326113	5.945886	0.6448723000000001	4	8	19
326121	6.0284343	0.5812748999999999	4	8	19
326122	6.157261	0.4246126	4	8	19
326130	5.9986440000000005	0.5650904	4	8	19
326140	6.07969	0.62014365	4	8	19
